SpaceType,Type,MajorCategory,MinorCategory,Status
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
PRIVATE HALL,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,OPEN
PRIVATE HALL,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,NON EMERGENCY,GENERAL,SIGNAGE MISSING,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BATHROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,OPEN
BATHROOM,EMERGENCY,PLUMBING,TOILET,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
OTHER ROOM/AREA,EMERGENCY,UNSANITARY CONDITION,SEWAGE,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,NON EMERGENCY,ELECTRIC,LIGHTING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
LIVING ROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
KITCHEN,EMERGENCY,GENERAL,CABINET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
KITCHEN,EMERGENCY,PLUMBING,RADIATOR,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
OTHER ROOM/AREA,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
PRIVATE HALL,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
BATHROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
PRIVATE HALL,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,MAILBOX,OPEN
BATHROOM,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
PRIVATE HALL,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
OTHER ROOM/AREA,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,ELECTRIC,NO LIGHTING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
OTHER ROOM/AREA,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
LOBBY,EMERGENCY,ELECTRIC,NO LIGHTING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
OTHER ROOM/AREA,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
LIVING ROOM,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BEDROOM,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,ELECTRIC,WIRING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
LIVING ROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
OTHER ROOM/AREA,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,EMERGENCY,ELECTRIC,LIGHTING,CLOSE
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
LOBBY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
LIVING ROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
LOBBY,NON EMERGENCY,GENERAL,SIGNAGE MISSING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BEDROOM,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
KITCHEN,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
KITCHEN,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BATHROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BEDROOM,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,OPEN
OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
LIVING ROOM,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,CLOSE
ENTIRE APARTMENT,EMERGENCY,ELECTRIC,WIRING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
LIVING ROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
STAIRS,IMMEDIATE EMERGENCY,FLOORING/STAIRS,STAIRS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING ENTRANCE,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BATHROOM,EMERGENCY,ELECTRIC,LIGHTING,CLOSE
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
OTHER ROOM/AREA,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BATHROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE
LIVING ROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
PRIVATE HALL,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
